1.200000 0.918332 0.700000 0.846984 
0.300000 0.287151 0.200000 0.364639 
0.100000 0.152346 0.000000 0.118395 
0.100000 0.203509 0.100000 0.246088 
0.100000 0.108433 0.000000 0.063869 
0.100000 0.144579 0.000000 0.108229 
0.100000 0.152346 0.000000 0.118395 
0.100000 0.093173 0.000000 0.048413 
0.100000 0.093173 0.000000 0.048413 
0.300000 0.341492 0.300000 0.442378 
0.100000 0.087292 0.000000 0.043153 
1.200000 0.952227 0.600000 0.937695 
0.300000 0.303169 0.200000 0.389568 
1.200000 1.008215 0.700000 0.915082 
1.200000 1.546627 1.200000 1.479537 
0.300000 0.327240 0.300000 0.424747 
1.200000 1.195235 0.900000 1.102514 
1.200000 0.772467 0.500000 0.808540 
2.700000 3.443548 3.400000 3.866770 
4.600000 4.313965 10.000000 5.997230 
2.700000 2.413857 1.800000 2.139335 
1.200000 1.134029 0.800000 1.047453 
0.100000 0.210261 0.100000 0.257718 
1.200000 0.713066 0.600000 0.732924 
1.200000 1.248726 0.900000 1.157327 
0.100000 0.221487 0.100000 0.276592 
1.200000 1.581420 1.400000 1.553543 
0.100000 0.110816 0.000000 0.066503 
0.100000 0.152346 0.000000 0.118395 
2.700000 3.007230 2.700000 3.114089 
0.100000 0.113714 0.000000 0.069747 
0.100000 0.214371 0.100000 0.264299 
0.100000 0.093173 0.000000 0.048413 
0.100000 0.145664 0.000000 0.109691 
0.100000 0.087292 0.000000 0.043153 
1.200000 1.370873 1.100000 1.307956 
0.300000 0.293562 0.200000 0.374922 
0.100000 0.097673 0.000000 0.052706 
2.700000 2.316360 1.700000 2.051563 
1.200000 1.233126 1.000000 1.157102 
0.300000 0.381111 0.300000 0.486337 
1.200000 1.868504 1.400000 1.697578 
0.100000 0.144579 0.000000 0.108229 
0.300000 0.293644 0.200000 0.375051 
0.100000 0.152346 0.000000 0.118395 
2.700000 2.996210 2.800000 3.074993 
2.700000 2.995890 2.700000 3.059208 
0.100000 0.097673 0.000000 0.052706 
0.300000 0.282210 0.100000 0.372256 
0.100000 0.252034 0.100000 0.327738 
0.100000 0.116487 0.000000 0.072946 
0.300000 0.330732 0.300000 0.428565 
1.200000 1.211208 0.900000 1.117995 
0.300000 0.434380 0.400000 0.542197 
0.100000 0.099662 0.000000 0.054627 
1.200000 1.636854 1.200000 1.484962 
4.600000 3.598972 3.700000 4.235107 
1.200000 0.799216 0.600000 0.783299 
0.100000 0.093173 0.000000 0.048413 
4.600000 3.645714 3.800000 4.287431 
2.700000 3.329407 3.200000 3.677958 
0.300000 0.468011 0.400000 0.569919 
1.200000 1.629328 1.300000 1.553896 
0.100000 0.125965 0.000000 0.084422 
